rank,model,description,val_precision,val_recall,val_mAP50,val_mAP50_95,best_epoch,total_epochs,train_hours,lr0,weight_decay,imgsz,optimizer,data,weights_path,run_dir,timestamp
1,yolo26m,YOLO26 Medium — accuracy vs. speed trade-off check,0.94137,0.97304,0.9869,0.83606,95,100,0.498,0.001,0.0005,960,AdamW,data_road_poles_iphone_cybele.yaml,/work/kristotf/tdt4265/TDT4265-Mini-Project/runs/compare__yolo26m__img960__ep100__20260421-144531/weights/best.pt,/work/kristotf/tdt4265/TDT4265-Mini-Project/runs/compare__yolo26m__img960__ep100__20260421-144531,20260421-144531
2,yolo26s,YOLO26 Small  — mid-size YOLO26 variant,0.93903,0.98012,0.98246,0.80839,73,93,0.261,0.001,0.0005,960,AdamW,data_road_poles_iphone_cybele.yaml,/work/kristotf/tdt4265/TDT4265-Mini-Project/runs/compare__yolo26s__img960__ep100__20260421-142946/weights/best.pt,/work/kristotf/tdt4265/TDT4265-Mini-Project/runs/compare__yolo26s__img960__ep100__20260421-142946,20260421-142946
3,yolo26n,"YOLO26 Nano   — smallest, fastest; baseline reference",0.91081,0.93636,0.97262,0.79378,75,95,0.2,0.001,0.0005,960,AdamW,data_road_poles_iphone_cybele.yaml,/work/kristotf/tdt4265/TDT4265-Mini-Project/runs/compare__yolo26n__img960__ep100__20260421-141735/weights/best.pt,/work/kristotf/tdt4265/TDT4265-Mini-Project/runs/compare__yolo26n__img960__ep100__20260421-141735,20260421-141735
4,yolo11s,YOLO11 Small  — prior-gen comparison (cross-architecture),0.96347,0.95905,0.98307,0.76597,93,100,0.227,0.001,0.0005,960,AdamW,data_road_poles_iphone_cybele.yaml,/work/kristotf/tdt4265/TDT4265-Mini-Project/runs/compare__yolo11s__img960__ep100__20260421-151532/weights/best.pt,/work/kristotf/tdt4265/TDT4265-Mini-Project/runs/compare__yolo11s__img960__ep100__20260421-151532,20260421-151532
